Year,Month,Day,Hour,MOL
2018,1,9,13,-8888.0
2018,1,9,14,8333.7
2018,1,9,15,277.0
2018,1,9,16,277.4
2018,1,9,17,414.6
2018,1,9,18,414.7
2018,1,9,19,476.6
2018,1,9,20,411.5
2018,1,9,21,549.0
2018,1,9,22,810.4
2018,1,9,23,763.7
2018,1,10,0,763.9
2018,1,10,1,634.8
2018,1,10,2,635.3
2018,1,10,3,343.6
2018,1,10,4,636.3
2018,1,10,5,2128.8
2018,1,10,6,1286.6
2018,1,10,7,446.1
2018,1,10,8,1050.8
2018,1,10,9,975.0
2018,1,10,10,-2231.9
2018,1,10,11,-3587.9
2018,1,10,12,-225.0
2018,1,10,13,-660.2
2018,1,10,14,-2910.9
2018,1,10,15,122.2
2018,1,10,16,185.7
2018,1,10,17,17.5
2018,1,10,18,13.8
2018,1,10,19,16.1
2018,1,10,20,8.0
2018,1,10,21,55.3
2018,1,10,22,8.0
2018,1,10,23,16.1
2018,1,11,0,16.0
2018,1,11,1,16.0
2018,1,11,2,54.2
2018,1,11,3,54.4
2018,1,11,4,16.0
2018,1,11,5,30.4
2018,1,11,6,54.9
2018,1,11,7,55.3
2018,1,11,8,39.2
2018,1,11,9,300.3
2018,1,11,10,5616.8
2018,1,11,11,-3753.6
2018,1,11,12,-496.8
2018,1,11,13,-1075.3
2018,1,11,14,1041.3
2018,1,11,15,316.2
2018,1,11,16,416.2
2018,1,11,17,415.9
2018,1,11,18,130.6
2018,1,11,19,107.6
2018,1,11,20,226.6
2018,1,11,21,226.8
2018,1,11,22,226.6
2018,1,11,23,32.6
2018,1,12,0,16.1
2018,1,12,1,55.8
2018,1,12,2,16.1
2018,1,12,3,32.5
2018,1,12,4,16.1
2018,1,12,5,8.1
2018,1,12,6,14.8
2018,1,12,7,32.4
2018,1,12,8,21.4
2018,1,12,9,5200.3
2018,1,12,10,-457.2
2018,1,12,11,-1204.3
2018,1,12,12,-302.8
2018,1,12,13,-1046.6
2018,1,12,14,-8888.0
2018,1,12,15,441.7
2018,1,12,16,293.2
2018,1,12,17,411.7
2018,1,12,18,477.0
2018,1,12,19,804.6
2018,1,12,20,757.6
2018,1,12,21,1196.1
2018,1,12,22,1195.3
2018,1,12,23,756.5
2018,1,13,0,1504.6
2018,1,13,1,573.1
2018,1,13,2,963.8
2018,1,13,3,963.4
2018,1,13,4,1503.5
2018,1,13,5,963.8
2018,1,13,6,803.4
2018,1,13,7,803.4
2018,1,13,8,669.7
2018,1,13,9,2977.6
2018,1,13,10,-7994.0
2018,1,13,11,-2901.5
2018,1,13,12,-1441.2
2018,1,13,13,-7698.1
2018,1,13,14,2022.8
2018,1,13,15,2264.0
2018,1,13,16,630.0
2018,1,13,17,1197.9
2018,1,13,18,1504.0
2018,1,13,19,1785.6
2018,1,13,20,1192.6
2018,1,13,21,1782.3
2018,1,13,22,473.1
2018,1,13,23,754.2
2018,1,14,0,571.4
2018,1,14,1,411.6
2018,1,14,2,54.7
2018,1,14,3,411.3
2018,1,14,4,411.1
2018,1,14,5,31.2
2018,1,14,6,54.8
2018,1,14,7,412.1
2018,1,14,8,16.3
2018,1,14,9,135.4
2018,1,14,10,2766.2
2018,1,14,11,-400.8
2018,1,14,12,-122.1
2018,1,14,13,-280.3
2018,1,14,14,237.5
2018,1,14,15,460.0
2018,1,14,16,276.8
2018,1,14,17,412.9
2018,1,14,18,572.5
2018,1,14,19,572.0
2018,1,14,20,754.5
2018,1,14,21,472.9
2018,1,14,22,412.4
2018,1,14,23,802.2
2018,1,15,0,997.0
2018,1,15,1,1000.3
2018,1,15,2,1294.7
2018,1,15,3,1291.7
2018,1,15,4,1677.7
2018,1,15,5,4910.6
2018,1,15,6,5798.6
2018,1,15,7,3258.3
2018,1,15,8,3944.4
2018,1,15,9,8888.0
2018,1,15,10,-6647.7
2018,1,15,11,-2470.2
2018,1,15,12,-5349.0
2018,1,15,13,-8888.0
2018,1,15,14,-8888.0
2018,1,15,15,2107.7
2018,1,15,16,5751.6
2018,1,15,17,1275.0
2018,1,15,18,
2018,1,15,19,
2018,1,15,20,
2018,1,15,21,2639.3
2018,1,15,22,2113.0
2018,1,15,23,1660.0
2018,1,16,0,3239.0
2018,1,16,1,5755.7
2018,1,16,2,2634.4
2018,1,16,3,2634.4
2018,1,16,4,3237.3
2018,1,16,5,3925.5
2018,1,16,6,3929.1
2018,1,16,7,4874.8
2018,1,16,8,4877.8
2018,1,16,9,8888.0
2018,1,16,10,-8888.0
2018,1,16,11,-7870.5
2018,1,16,12,-8888.0
2018,1,16,13,-8888.0
2018,1,16,14,-8888.0
2018,1,16,15,2640.4
2018,1,16,16,2638.5
2018,1,16,17,2637.9
2018,1,16,18,3242.0
2018,1,16,19,2638.8
2018,1,16,20,3241.0
2018,1,16,21,2639.0
2018,1,16,22,3244.3
2018,1,16,23,5768.6
2018,1,17,0,4880.3
2018,1,17,1,4885.7
2018,1,17,2,2648.3
2018,1,17,3,2651.0
2018,1,17,4,2653.5
2018,1,17,5,
2018,1,17,6,
2018,1,17,7,
2018,1,17,8,
2018,1,17,9,
2018,1,17,10,-8888.0
2018,1,17,11,-8888.0
2018,1,17,12,-8888.0
2018,1,17,13,-8888.0
2018,1,17,14,-8888.0
2018,1,17,15,2676.9
2018,1,17,16,1294.5
2018,1,17,17,1293.7
2018,1,17,18,1294.1
2018,1,17,19,1292.6
2018,1,17,20,2669.3
2018,1,17,21,1677.0
2018,1,17,22,2126.4
2018,1,17,23,8888.0
2018,1,18,0,8888.0
2018,1,18,1,8888.0
2018,1,18,2,8888.0
2018,1,18,3,8888.0
2018,1,18,4,8888.0
2018,1,18,5,8888.0
2018,1,18,6,8888.0
2018,1,18,7,
2018,1,18,8,
2018,1,18,9,
2018,1,18,10,-8290.1
2018,1,18,11,-3501.0
2018,1,18,12,-3997.4
2018,1,18,13,-5365.2
2018,1,18,14,-8888.0
2018,1,18,15,3489.2
2018,1,18,16,
2018,1,18,17,
2018,1,18,18,
2018,1,18,19,1289.0
2018,1,18,20,904.7
2018,1,18,21,
2018,1,18,22,
2018,1,18,23,
2018,1,19,0,
2018,1,19,1,
2018,1,19,2,
2018,1,19,3,
2018,1,19,4,
2018,1,19,5,
2018,1,19,6,
2018,1,19,7,
2018,1,19,8,
2018,1,19,9,
2018,1,19,10,
2018,1,19,11,-2087.2
2018,1,19,12,-5082.8
2018,1,19,13,-5264.0
2018,1,19,14,-8888.0
2018,1,19,15,2382.7
2018,1,19,16,2144.6
2018,1,19,17,2144.6
2018,1,19,18,
2018,1,19,19,
2018,1,19,20,
2018,1,19,21,1295.4
2018,1,19,22,908.5
2018,1,19,23,212.8
2018,1,20,0,127.1
2018,1,20,1,273.1
2018,1,20,2,8.0
2018,1,20,3,273.5
2018,1,20,4,30.6
2018,1,20,5,223.4
2018,1,20,6,232.5
2018,1,20,7,471.8
2018,1,20,8,148.2
2018,1,20,9,5064.1
2018,1,20,10,-1031.3
2018,1,20,11,-640.9
2018,1,20,12,-3206.5
2018,1,20,13,-1226.1
2018,1,20,14,-1444.2
2018,1,20,15,716.8
2018,1,20,16,471.4
2018,1,20,17,274.6
2018,1,20,18,128.0
2018,1,20,19,128.0
2018,1,20,20,222.7
2018,1,20,21,105.0
2018,1,20,22,16.0
2018,1,20,23,221.9
2018,1,21,0,221.8
2018,1,21,1,160.7
2018,1,21,2,7.3
2018,1,21,3,8.0
2018,1,21,4,8.0
2018,1,21,5,160.8
2018,1,21,6,272.7
2018,1,21,7,127.3
2018,1,21,8,148.9
2018,1,21,9,-8888.0
2018,1,21,10,-1994.4
2018,1,21,11,-947.2
2018,1,21,12,-1879.3
2018,1,21,13,-8888.0
2018,1,21,14,1863.7
2018,1,21,15,358.6
2018,1,21,16,573.1
2018,1,21,17,55.4
2018,1,21,18,226.2
2018,1,21,19,578.9
2018,1,21,20,979.0
2018,1,21,21,1532.4
2018,1,21,22,818.6
2018,1,21,23,817.7
2018,1,22,0,1291.4
2018,1,22,1,582.2
2018,1,22,2,228.9
2018,1,22,3,344.3
2018,1,22,4,280.7
2018,1,22,5,228.0
2018,1,22,6,280.2
2018,1,22,7,343.1
2018,1,22,8,622.7
2018,1,22,9,6453.6
2018,1,22,10,-903.5
2018,1,22,11,-1308.5
2018,1,22,12,-3206.8
2018,1,22,13,-1530.6
2018,1,22,14,-8888.0
2018,1,22,15,1323.1
2018,1,22,16,582.2
2018,1,22,17,581.1
2018,1,22,18,976.1
2018,1,22,19,634.8
2018,1,22,20,810.4
2018,1,22,21,808.5
2018,1,22,22,763.4
2018,1,22,23,764.2
2018,1,23,0,974.2
2018,1,23,1,765.1
2018,1,23,2,810.7
2018,1,23,3,480.0
2018,1,23,4,579.8
2018,1,23,5,637.5
2018,1,23,6,637.7
2018,1,23,7,1813.2
2018,1,23,8,1318.3
2018,1,23,9,5672.3
2018,1,23,10,-8888.0
2018,1,23,11,-8888.0
2018,1,23,12,-7427.8
2018,1,23,13,-7635.6
2018,1,23,14,-8888.0
2018,1,23,15,4611.0
2018,1,23,16,4001.6
2018,1,23,17,2154.1
2018,1,23,18,2155.2
2018,1,23,19,2691.9
2018,1,23,20,2156.3
2018,1,23,21,1301.9
2018,1,23,22,1694.6
2018,1,23,23,2155.8
2018,1,24,0,5870.2
2018,1,24,1,3300.0
2018,1,24,2,5858.5
2018,1,24,3,8888.0
2018,1,24,4,6850.5
2018,1,24,5,6845.7
2018,1,24,6,6837.4
2018,1,24,7,8888.0
2018,1,24,8,8888.0
2018,1,24,9,-8888.0
2018,1,24,10,-8888.0
2018,1,24,11,-8888.0
2018,1,24,12,-3939.7
2018,1,24,13,-8888.0
2018,1,24,14,-8888.0
2018,1,24,15,1796.2
2018,1,24,16,2667.4
2018,1,24,17,1680.4
2018,1,24,18,1680.5
2018,1,24,19,1681.4
2018,1,24,20,1291.8
2018,1,24,21,906.3
2018,1,24,22,906.5
2018,1,24,23,1683.5
2018,1,25,0,1293.3
2018,1,25,1,907.0
2018,1,25,2,907.0
2018,1,25,3,1292.8
2018,1,25,4,
2018,1,25,5,
2018,1,25,6,
2018,1,25,7,
2018,1,25,8,322.3
2018,1,25,9,-8888.0
2018,1,25,10,-1332.7
2018,1,25,11,-1567.7
2018,1,25,12,-2806.4
2018,1,25,13,-2451.4
2018,1,25,14,-3419.8
2018,1,25,15,1981.8
2018,1,25,16,906.1
2018,1,25,17,437.2
2018,1,25,18,647.2
2018,1,25,19,309.2
2018,1,25,20,647.3
2018,1,25,21,437.8
